ISIC UIC ,,,N Code,JFHQ-C / JMOC,,,,,,,,,,,,,,,,,,,,,DO,
Activity UIC,,,Functional Element,FIRES,OPERATIONAL AUDIT MEASUREMENT WORKSHEET,,,,,,,,,,,,,,,,,,,,NOT,
Primary SME Last Name:,,Edwards,List of SME Participants:,,,,,,,,,,,,,,,,,,,,,,TOUCH,
Primary SME First Name:,,Derrick,,,,,,,,,,,,,,,,,,,,,,,THIS,
Primary SME Rate/Series/Desig:,,Contractor,,,,,,,,,,,,,,,,,,,,,,,COLUMN!,
Primary SME Paygrade:,,CIV,,,,,,,,,,,,,,,,,,,,,,,:(,
Interview START Time:,,,Analyst Last Name:,,,,,,,,,,,,,,,,,,,,,,):,
Interview STOP Time:,,,Analyst Fist Name:,,,,,,,,,,,,,,,,,,,,,,:(,
,Competition/Conflict,Both,,,,,,,,,,,COMP MMH:,0.00,,,,,,,,CONF MMH:,0.00,,):,
,,,,,,,,Competition,,,,,,,,Conflict,,,,,,,,,:(,
N-Code,Functional Element,MET,UJTL #,Process Number,Process Title,CSS Code,Workforce Classification,Do you perform this process? (Yes/No),Frequency,,Crew Size,     Per Accomplishment Time (In Min's),,Comments,Comments,Do you perform this process? (Yes/No),Same as Competition? (Yes/No),Frequency,,Crew Size,     Per Accomplishment Time (In Min's),,Monthly Man Hours,Comments,ID,Core Function
,,,,,,,,,Number of Occurrences,Activity Frequency,,Hours,Minutes,,,,,Number of Occurrences,Activity Frequency,,Hours,Minutes,,,,
N3,FIRES CELL,Information,ST 2.6,,Maintain Situational Awareness,,Contractor Derrick Edwards,"Yes, not on Watch",20,WK,1,,30,"This is constant as part of OPTs, WGs, CFTs, etc…","This is constant as part of OPTs, WGs, CFTs, etc…","Yes, not on Watch",Yes,20,WK,1,,30,43.3,"This is constant as part of OPTs, WGs, CFTs, etc…",N3 FIRES CELL C2 OP 5.3.4  C311,JFHQ-C Navy Access
N3,FIRES CELL,Information,ST 3.1,,Perform the Joint Targeting Cycle,,Contractor Derrick Edwards,"Yes, not on Watch",3,WK,1,,30,Necessary for constant Access Planning,Necessary for constant Access Planning,"Yes, not on Watch",Yes,3,WK,1,,30,6.5,Necessary for constant Access Planning,N3 FIRES CELL C2 OP 5.3.4 13.0 C311,JFHQ-C Navy Access
N3,FIRES CELL,Information,ST 3.7,,Conduct Cyberspace Operations,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL C2 OP 5.4.6  C311,
N3,FIRES CELL,Information,ST 3.7,,Operationally integrate strategic plans to Conduct Cyberspace Operations,,Contractor Derrick Edwards,"Yes, not on Watch",5,WK,1,,30,Necessary for Access Planning,Necessary for Access Planning,"Yes, not on Watch",Yes,5,WK,1,,30,10.8,Necessary for Access Planning,N3 FIRES CELL C2 OP 5.4.6 17.0 C311,JFHQ-C Navy Access
N3,FIRES CELL,Information,ST 3.7,8,Integrate and synchronize effects into Scheme of Fires ,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Information ST 3.7  C311,
N3,FIRES CELL,Information,ST 3.7,8.1,Develops Fires Guidance.,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Information ST 3.7 8 C311,
N3,FIRES CELL,Information,ST 3.7,8.2,Promulgates Fires Guidance.,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Information ST 3.7 8.1 C311,
N3,FIRES CELL,Information,ST 3.7,8.3,Requests inputs for cyber capabilities.,,Contractor Derrick Edwards,"Yes, not on Watch",2,WK,1,,30,This is constant as part of corrdination with higher headquarter and subordinate requirements and functions,This is constant as part of corrdination with higher headquarter and subordinate requirements and functions,"Yes, not on Watch",Yes,2,WK,1,,30,4.3,This is constant as part of corrdination with higher headquarter and subordinate requirements and functions,N3 FIRES CELL Information ST 3.7 8.2 C311,JFHQ-C Navy Access
N3,FIRES CELL,Information,ST 3.7,8.4,Prioritizes cyber efforts.,,Contractor Derrick Edwards,"Yes, not on Watch",6,WK,1,,30,Provides Collection Request Priortization and Support,Provides Collection Request Priortization and Support,"Yes, not on Watch",Yes,6,WK,1,,30,13.0,Provides Collection Request Priortization and Support,N3 FIRES CELL Information ST 3.7 8.3 C311,JFHQ-C Navy Access
N3,FIRES CELL,Information,ST 3.7,8.5,Integrates cyber efforts into scheme of fires.,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Information ST 3.7 8.4 C311,
N3,FIRES CELL,Information,ST 3.7,8.6,Promulgates scheme of fires to include cyber efforts.,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Information ST 3.7 8.5 C311,
N3,FIRES CELL,Information,ST 3.7,8.7,Develops method for fires synchronization with operations.,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information ST 3.7 8.6 C311,
N3,FIRES CELL,Information,ST 5.5,,Conduct Information Operations,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information ST 3.7 8.7 C311,
N3,FIRES CELL,Information,ST 5.5.1,,Coordinate Information Operations,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2  C311,
N3,FIRES CELL,Information,ST 5.5.6,,Manage Military Information Support Operations (MISO),,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2 1 C311,
N3,FIRES CELL,Information,ST 5.5.6.1,,Conduct Military Information Support Operations (MISO),,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2 1.1 C311,
N3,FIRES CELL,Information,ST 5.5.9,,Conduct Military Deception (MILDEC),,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2 1.2 C311,
N3,FIRES CELL,Information,ST 5.5.7,,Direct Cyberspace Operations,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2 1.3 C311,
N3,FIRES CELL,Information,ST 5.5.7.2,,Provide Cyberspace Attack,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2 1.4 C311,
N3,FIRES CELL,Information,ST 5.5.7.4,,"Direct Cyber Intelligence, Surveillane, and Reconnaissance (C-ISR)",,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2 1.5 C311,
N3,FIRES CELL,Information,ST 6.6.4,,Prevent or mitigate the Loss of Critial Assets,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2 1.6 C311,
N3,FIRES CELL,Movement & Maneuver,OP 1.2.3,,Plan and Coordinate subordinate operations to Position Forces,C311,Contractor Derrick Edwards,"Yes, not on Watch",4,WK,1,,30,Collection support and priortization,Collection support and priortization,"Yes, not on Watch",Yes,4,WK,1,,30,8.7,Collection support and priortization,N3 FIRES CELL Information OP 5.9.2 1.7 C311,JFHQ-C Navy Access
N3,FIRES CELL,Movement & Maneuver,OP 1.2.3,13.2,Direct priorization of targets for target development,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2 1.8 C311,
N3,FIRES CELL,Movement & Maneuver,OP 1.2.3,13.3,Facilitates decision brief for approval of target priorities ,,Contractor Derrick Edwards,"Yes, not on Watch",1,WK,1,,30,Access Planning Functions,Access Planning Functions,"Yes, not on Watch",Yes,1,WK,1,,30,2.2,Access Planning Functions,N3 FIRES CELL Information OP 5.9.2 1.9 C311,JFHQ-C Navy Access
N3,FIRES CELL,Movement & Maneuver,OP 1.2.3,13.4,Direct determination of desired lethal or non-lethal effects through kinetic or non-kinetic capabilities on prioritized targets to enable maneuver,,Contractor Derrick Edwards,No,,,,,,,,N/A,No,Yes,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2 1.10 C311,
N3,FIRES CELL,Movement & Maneuver,OP 1.2.3,13.5,Direct planning of determined effects / develop a scheme of fires to enble maneuver ,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2 1.11 C311,
N3,FIRES CELL,Movement & Maneuver,OP 1.2.3,13.6,Facilitate approval of scheme of fires as required to enable maneuver,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2 2 C311,
N3,FIRES CELL,Movement & Maneuver,OP 1.2.3,13.7,Direct promulgation of scheme of fire in support of maneuver,,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2 2.1 C311,
N3,FIRES CELL,Movement & Maneuver,OP 1.2.3,11.0,Plan and coordinate firing unit potential launch positions to ensure mutual support or deconfliction with other missions.,C322,Contractor Derrick Edwards,No,,,,,,,,,N/A,No,Yes,,,,,,,,,N/A,N3 FIRES CELL Information OP 5.9.2 2.2 C311,
